0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-4.238,6.9711,-2.6286,0.9437,-0.057,-4.4357,1.0706,-5.4663,2.6798,5.9039,1.0143,-0.7577,0.828,0.8322,0.5425
15.9495,10.2847,-5.2105,4.7926,0.7232,4.5388,4.8184,1.4355,2.0021,0.8291,-3.2956,0.2609,-3.7309,0.2623,2.5958
-6.0175,-3.0039,-6.1944,5.1456,-2.9073,5.9094,1.0372,-0.0248,0.8049,-2.3093,2.4889,-3.7392,-0.2145,-1.1578,-1.0477
-15.3503,-4.0417,-13.135,12.1696,1.835,0.8543,0.4098,1.6949,-2.7336,-1.5733,3.6666,2.3922,-2.0062,-1.3168,1.2232
-10.9375,-7.5424,-5.2011,4.9501,0.3635,-1.0541,0.0533,-4.0437,3.1748,-1.6977,-1.3964,1.3316,-1.323,1.6385,0.2922
0.3498,-4.2895,0.0397,1.3833,-4.326,1.5862,3.0389,-1.9695,1.6248,-3.682,-0.424,2.367,1.0093,-0.8196,0.2721
13.6742,3.8582,2.2929,-4.3983,-3.6923,1.9437,6.183,-4.305,4.4782,-4.8509,-2.8416,0.1789,0.6015,-1.3168,-1.1468
-18.7833,-8.4987,-3.7864,4.2941,-5.0032,-1.1719,-0.3399,1.9256,5.0237,0.3993,6.4213,-1.9267,3.8173,-1.8566,-0.5141
-12.374,-16.2452,0.1167,6.804,2.0381,10.7657,1.1553,-6.4645,-3.2065,-0.772,2.1954,-0.5459,0.2742,-0.1744,0.1335
10.4298,-12.7547,5.1907,2.2798,-2.4746,0.0808,10.1295,-3.2168,2.1258,2.5855,-0.3136,-3.7228,1.5079,0.5785,0.3663
-7.2077,-0.3565,-3.002,3.2292,-1.0188,1.7383,2.0445,2.2348,0.6112,3.1982,-1.5631,-1.1474,1.2922,-3.473,-1.3773
-20.0602,-4.7462,-5.6856,5.6601,-1.5753,-2.0696,-1.6321,-0.888,-1.5664,-1.3099,1.6561,3.2157,-0.7,-1.6471,0.7053
